"id","name","image","modified","updated_by_id","listened_count"
"847","Kylie Minogue","images/artists/image_Pk4eOdz.jpg","21/12/2023 12:00:06.-1f+00","22","0"
"848","Kamazz","images/artists/image_vtVG09i.jpg","22/12/2023 09:05:48.-1f+00","22","0"
"857","Brandy","images/artists/image_XzB06tp.jpg","23/12/2023 06:38:51.-1f+00","24","0"
"858","Keyshia Cole","images/artists/image_wsQFpwX.jpg","23/12/2023 06:47:48.-1f+00","24","0"
"850","Billy's Band","images/artists/image_R12Aqwm.jpg","22/12/2023 10:13:40.-1f+00","22","0"
"851","SUNSAY","images/artists/image_OxyHM2U.jpg","22/12/2023 10:58:00.-1f+00","22","0"
"852","Ольга Орлова","images/artists/image_0hInvYi.jpg","22/12/2023 11:06:50.-1f+00","25","0"
"853","Faith Evans","images/artists/image_epwV76R.jpg","23/12/2023 04:44:41.-1f+00","24","0"
"854","112","images/artists/image_NWYoRQX.jpg","23/12/2023 04:49:34.-1f+00","24","0"
"855","Kokane","images/artists/image_wmkE9Jb.jpg","23/12/2023 05:39:34.-1f+00","24","0"
"875","Tommy Lee Sparta","images/artists/image_uR9Mou5.jpg","25/12/2023 10:30:04.-1f+00","25","0"
"859","P!nk","images/artists/image_p6qcTqm.jpg","23/12/2023 08:09:18.-1f+00","1","0"
"860","Teddy Swims","images/artists/image_pTa0nfV.jpg","23/12/2023 08:34:25.-1f+00","1","0"
"861","Trey Songz","images/artists/image_0nXKdWx.jpg","25/12/2023 04:09:24.-1f+00","24","0"
"862","ЮрКисс","images/artists/image_nQtSPxd.jpg","25/12/2023 04:31:07.-1f+00","22","0"
"863","Банд'Эрос","images/artists/image_s6K45pn.jpg","25/12/2023 04:40:06.-1f+00","24","0"
"864","James Arthur","images/artists/image_CRN7TF1.jpg","25/12/2023 07:05:29.-1f+00","22","0"
"865","Мумий Тролль","images/artists/image_1MO83MB.jpg","25/12/2023 07:17:35.-1f+00","24","0"
"866","Shotty Horroh","images/artists/image_muLzp55.jpg","25/12/2023 07:36:44.-1f+00","22","0"
"867","Michael Kiwanuka","images/artists/image_Hf84EV3.jpg","25/12/2023 09:03:15.-1f+00","22","0"
"868","Cordae","images/artists/image_7FkbNTI.jpg","25/12/2023 09:10:04.-1f+00","23","0"
"869","Kwabs","images/artists/image_q7Q2jsj.jpg","25/12/2023 09:38:32.-1f+00","22","0"
"870","Adele","images/artists/image_w5H2sTj.jpg","25/12/2023 10:05:00.-1f+00","22","0"
"871","DJ Khaled","images/artists/image_ks3hX2l.jpg","25/12/2023 10:15:35.-1f+00","23","0"
"872","Roddy Ricch","images/artists/image_Pe0xBQn.jpg","25/12/2023 10:16:29.-1f+00","25","0"
"873","Bryson Tiller","images/artists/image_cQRK7TV.jpg","25/12/2023 10:17:01.-1f+00","23","0"
"877","Nina Simone","images/artists/image_CA3DCwj.jpg","25/12/2023 10:47:01.-1f+00","22","0"
"878","BANKS","images/artists/image_1WDl69Z.jpg","25/12/2023 11:04:05.-1f+00","25","0"
"879","YNW Melly","images/artists/image_quII1qx.jpg","25/12/2023 11:30:11.-1f+00","25","0"
"880","Чай Вдвоём","images/artists/image_1wFNp39.jpg","25/12/2023 11:33:08.-1f+00","24","0"
