"id","name","image","modified","year","trend","updated_by_id"
"141","The Marshall Mathers LP","images/albums/image_VTwKH1C.jpg","20/9/2023 19:44:45.-1f+00","2000","f","22"
"142","Dangerously In Love","images/albums/image_PavuV01.jpg","20/9/2023 21:28:53.-1f+00","2003","f","22"
"144","Розовая Нежность","images/albums/image_49YJ1RK.jpg","21/9/2023 06:28:20.-1f+00","2016","f","1"
"145","Бай-Бай. Новое и то, что не вошло в альбомы","images/albums/image_khVEbLE.jpg","21/9/2023 07:03:04.-1f+00","2015","f","1"
"146","Седьмое чувство 1","images/albums/image_G0mCuWp.jpg","21/9/2023 07:23:29.-1f+00","2012","f","1"
"147","Седьмое чувство 2","images/albums/image_MNhdw0D.jpg","21/9/2023 07:40:18.-1f+00","2012","f","1"
"148","Grand Collection","images/albums/image_LjLE3IF.jpg","21/9/2023 08:41:37.-1f+00","2005","f","1"
"149","Песни России","images/albums/image_3YwLScx.jpg","21/9/2023 09:21:23.-1f+00","2009","f","1"
"150","Про любовь","images/albums/image_0vgs9Q5.jpg","21/9/2023 11:28:26.-1f+00","2021","f","1"
"151","Маяк","images/albums/image_k7EBnne.jpg","21/9/2023 11:51:42.-1f+00","2016","f","1"
"152","Юбилейный","images/albums/image_ld4xxHe.jpg","22/9/2023 04:54:36.-1f+00","2019","f","1"
"153","Золотой Альбом. The Best","images/albums/image_U24jZ0s.jpg","22/9/2023 07:10:34.-1f+00","2011","f","1"
"154","Тайна склеенных страниц","images/albums/image_YbppuLz.jpg","22/9/2023 08:11:24.-1f+00","2013","f","1"
"155","The Eminem Show","images/albums/image_LGcMsob.jpg","22/9/2023 10:38:51.-1f+00","2002","f","22"
"156","Вернисаж. Лучшие Песни","images/albums/image_UvOr6DH.jpg","22/9/2023 11:30:32.-1f+00","2007","f","1"
"157","Чернила осьминога (Deluxe)","images/albums/image_1SNsT6D.jpg","23/9/2023 05:55:20.-1f+00","2021","f","1"
"158","Эксклюзивное Издание","images/albums/image_x7XGXSJ.jpg","23/9/2023 07:00:34.-1f+00","2012","f","1"
"159","Лучшее","images/albums/image_pBWwW3G.jpg","23/9/2023 07:47:35.-1f+00","2008","f","1"
"160","Infinite","images/albums/eminem_infinite.jpg","19/1/2024 12:28:41.-1f+00","1996","f","1"
"161","1+1 (Дуэты)","images/albums/image_lKXHkXO.jpg","24/9/2023 05:55:46.-1f+00","2018","f","1"
"162","Эгоист","images/albums/image_hc1N8ML.jpg","24/9/2023 06:57:48.-1f+00","2017","f","1"
"163","Не Молчи","images/albums/image_zcIkPNT.jpg","24/9/2023 07:26:04.-1f+00","2015","f","1"
"164","Нежная (Новое и Лучшее)","images/albums/image_uDPUGEj.jpg","24/9/2023 08:05:16.-1f+00","2005","f","1"
"165","Пенсне","images/albums/image_iQSgOIH.jpg","24/9/2023 09:49:32.-1f+00","2011","f","1"
"166","Пенсне. Переиздание","images/albums/image_dxp84Fd.jpg","25/9/2023 10:12:07.-1f+00","2011","f","1"
"167","Берега Чистого Братства","images/albums/image_2YnlK87.jpg","25/9/2023 11:00:15.-1f+00","2011","f","1"
"168","На твоей съёмной","images/albums/image_t6vOq45.jpg","25/9/2023 12:07:22.-1f+00","2020","f","1"
"169","Градус 100","images/albums/image_Sir7J6J.jpg","25/9/2023 12:42:08.-1f+00","2016","f","1"
"170","Grand Collection","images/albums/image_jjGGrwC.jpg","25/9/2023 13:14:13.-1f+00","2009","f","1"
"171","Здесь и сейчас","images/albums/image_hMQb9Wk.jpg","26/9/2023 06:29:50.-1f+00","2022","f","1"
"172","С кем ты играешь и поёшь?!","images/albums/image_TFjW55b.jpg","26/9/2023 07:58:57.-1f+00","2008","f","1"
"173","Я привык бродить один","images/albums/image_Qv2QFs5.jpg","26/9/2023 09:24:16.-1f+00","2005","f","1"
"174","Начало","images/albums/image_9ZrRAvh.jpg","26/9/2023 09:57:45.-1f+00","2019","f","1"
"175","Романсы","images/albums/image_hBZbVQI.jpg","26/9/2023 11:05:17.-1f+00","2011","f","1"
"176","Мама И Сын","images/albums/image_99mfgme.jpg","26/9/2023 11:51:41.-1f+00","2011","f","1"
"177","Навсегда","images/albums/image_vsGnwp5.jpg","26/9/2023 12:23:51.-1f+00","2020","f","1"
"178","Hybrid Theory","images/albums/image_Pux8Y4L.jpg","26/9/2023 19:00:37.-1f+00","2000","f","22"
"179","Nu Virgos L.M.L.","images/albums/image_HQyQGSa.jpg","27/9/2023 06:38:32.-1f+00","2007","f","1"
"180","Stop! Stop! Stop!","images/albums/image_VWxC08N.jpg","27/9/2023 07:23:15.-1f+00","2004","f","1"
"181","Биология","images/albums/image_PPOJQe4.jpg","27/9/2023 07:55:18.-1f+00","2003","f","1"
"182","Стоп! Снято!","images/albums/image_WX1ZhMG.jpg","27/9/2023 08:22:37.-1f+00","2003","f","1"
"183","Попытка №5","images/albums/image_GB9f0pc.jpg","27/9/2023 09:34:44.-1f+00","2001","f","1"
"184","Ретроспектива","images/albums/image_36W1N4q.jpg","27/9/2023 12:24:14.-1f+00","2014","f","1"
"185","The Best","images/albums/image_zFARLxR.jpg","27/9/2023 13:12:46.-1f+00","2008","f","1"
"186","Русские Романсы и Золотые Шлягеры ХХ Века","images/albums/image_Sat2Zxb.jpg","28/9/2023 05:15:53.-1f+00","2012","f","1"
"187","Песни, Которые Вы Полюбили. Best Of 2003-2010. Limited Edition","images/albums/image_O2xxoOp.jpg","28/9/2023 07:34:27.-1f+00","2010","f","1"
"188","Чем Мне Любить","images/albums/image_rutTLlS.jpg","28/9/2023 08:45:01.-1f+00","2018","f","1"
"189","Гармония","images/albums/image_OEXTW4b.jpg","28/9/2023 09:11:32.-1f+00","2018","f","1"
"190","Начать С Нуля","images/albums/image_LLqGkaK.jpg","29/9/2023 05:28:18.-1f+00","2018","f","1"
"191","Black Rocks feat. Dmitry Rocker","images/albums/image_klz8dMZ.jpg","29/9/2023 06:03:05.-1f+00","2015","f","1"
"192","Братья Грим","images/albums/image_5OENr93.jpg","29/9/2023 06:38:03.-1f+00","2005","f","1"
"193","Unrealised","images/albums/image_lwtK4PK.jpg","29/9/2023 07:35:16.-1f+00","2018","f","1"
"194","Восточные Сказки","images/albums/image_d7ECWFX.jpg","29/9/2023 10:21:14.-1f+00","2005","f","1"
"195","Одноклассники","images/albums/image_XEgZCPR.jpg","29/9/2023 11:05:41.-1f+00","2008","f","1"
"196","CLV","images/albums/image_QOjxCDp.jpg","29/9/2023 11:53:32.-1f+00","2020","f","1"
"197","Личное...","images/albums/image_EuVWc7X.jpg","29/9/2023 12:21:19.-1f+00","2014","f","1"
"198","Сердцебиение","images/albums/image_tJrLUIJ.jpg","29/9/2023 12:44:49.-1f+00","2012","f","1"
"199","Звёздная Коллекция","images/albums/image_LBDkbQc.jpg","30/9/2023 05:32:38.-1f+00","2001","f","1"
"200","Нега","images/albums/image_1ILPyQo.jpg","30/9/2023 06:14:17.-1f+00","1999","f","1"
"201","О тебе","images/albums/image_W6WYXNI.jpg","30/9/2023 06:44:50.-1f+00","2013","f","1"
"202","10","images/albums/image_deRrb5O.jpg","18/10/2023 12:55:26.-1f+00","2014","f","1"
"203","Grand Collection","images/albums/image_xcMVT8h.jpg","30/9/2023 12:13:22.-1f+00","2010","f","1"
"204","Джокер","images/albums/image_NBmakSe.jpg","1/10/2023 04:45:28.-1f+00","2013","f","1"
"205","Я открою свое сердце","images/albums/image_UKVQVNg.jpg","1/10/2023 05:18:24.-1f+00","2012","f","1"
"206","Только Ты...","images/albums/image_icL6cjB.jpg","1/10/2023 05:52:39.-1f+00","2011","f","1"
"207","Свеча","images/albums/image_NFYEWzS.jpg","1/10/2023 07:01:38.-1f+00","1997","f","1"
"208","Посвящение","images/albums/image_1V4vt5o.jpg","1/10/2023 07:30:12.-1f+00","2002","f","1"
"209","Позывные На Любовь","images/albums/image_uz3Vpv3.jpg","1/10/2023 08:50:24.-1f+00","2004","f","1"
"226","Приметы","images/albums/image_3a2DJrg.jpg","4/10/2023 07:24:31.-1f+00","2017","f","1"
"210","Вира и майна","images/albums/image_YXaTGR3.jpeg","2/10/2023 05:41:30.-1f+00","2020","f","1"
"211","Тайком","images/albums/image_pLH5Djc.jpg","2/10/2023 05:43:50.-1f+00","2019","f","1"
"212","Встречная полоса","images/albums/image_BrMXhzV.jpg","2/10/2023 05:56:38.-1f+00","2018","f","1"
"213","Жизнь это кайф - Dance","images/albums/image_uNQQNln.jpg","2/10/2023 06:46:12.-1f+00","2021","f","1"
"214","Жизнь это кайф","images/albums/image_WY1ZXPJ.jpg","2/10/2023 07:18:04.-1f+00","2020","f","1"
"215","Yours Truly","images/albums/image_dFEOw6h.jpg","2/10/2023 18:40:26.-1f+00","2013","f","22"
"216","Новое неизданное","images/albums/image_lzEEqlk.jpg","3/10/2023 09:25:09.-1f+00","2019","f","1"
"217","Лучшее для вас","images/albums/image_fiW94cM.jpg","3/10/2023 10:03:09.-1f+00","2017","f","1"
"218","Эксклюзивные новые хиты","images/albums/image_DahyFJH.jpg","3/10/2023 10:37:44.-1f+00","2014","f","1"
"219","Кавказский","images/albums/image_CPj2w7w.jpg","3/10/2023 11:14:26.-1f+00","2014","f","1"
"220","Сердце-Магнит","images/albums/image_9v4251z.jpg","3/10/2023 11:47:33.-1f+00","2008","f","1"
"221","My Everything (Deluxe Version)","images/albums/image_g4GhOAW.jpg","3/10/2023 21:16:07.-1f+00","2014","f","22"
"222","Нормально Всё","images/albums/image_pBWsfSu.jpg","4/10/2023 05:15:42.-1f+00","2018","f","1"
"223","Стейкхаус","images/albums/image_B9SRMdL.jpg","4/10/2023 05:44:21.-1f+00","2019","f","1"
"224","Одиночество","images/albums/image_ZCxxc7z.jpg","4/10/2023 06:08:46.-1f+00","2010","f","1"
"225","The Best","images/albums/image_L3BIEus.jpg","4/10/2023 06:54:25.-1f+00","2007","f","1"
"227","Electric Touch","images/albums/image_JFWdOB9.jpg","4/10/2023 11:32:40.-1f+00","2010","f","1"
"228","Любовное настроение","images/albums/image_1VJveJm.jpg","4/10/2023 12:15:35.-1f+00","2004","f","1"
"229","Не надо прощаться","images/albums/image_qMVfCJY.jpg","5/10/2023 08:12:08.-1f+00","2010","f","1"
"230","Мы так хотели","images/albums/image_iKXpq7Q.jpg","5/10/2023 09:56:10.-1f+00","2008","f","1"
"231","8 Марта","images/albums/image_veHU6B3.jpg","5/10/2023 12:37:40.-1f+00","2006","f","1"
"232","Особо Важные Персоны","images/albums/image_9EdE1Od.jpg","7/10/2023 05:05:34.-1f+00","2004","f","1"
"233","Золотая Серия","images/albums/image_ZgCucWY.jpg","7/10/2023 06:08:20.-1f+00","2004","f","1"
"234","Завтра","images/albums/image_etdISTv.jpg","7/10/2023 06:53:33.-1f+00","2016","f","1"
"235","На всю планету Земля","images/albums/image_kMXRMxL.jpg","7/10/2023 07:38:43.-1f+00","2014","f","1"
"236","Кухня","images/albums/image_REevLQu.jpg","7/10/2023 08:01:07.-1f+00","2012","f","1"
"237","Тропы","images/albums/image_URIsmIx.jpg","7/10/2023 08:36:11.-1f+00","2010","f","1"
"238","Сибирский Драйв","images/albums/image_M1u97QM.jpg","7/10/2023 09:33:57.-1f+00","2009","f","1"
"239","Девушкины Песни","images/albums/image_40XyIf0.jpg","7/10/2023 10:16:47.-1f+00","2007","f","1"
"240","Скандал Во Время Рекламы","images/albums/image_CKjFB5j.jpg","7/10/2023 10:54:57.-1f+00","2010","f","1"
"241","...я придумаю happy end...","images/albums/image_snRyGRu.jpg","7/10/2023 11:30:05.-1f+00","2008","f","1"
"242","Назло Рекордам!!!","images/albums/image_UJPOoBV.jpg","7/10/2023 12:05:07.-1f+00","2008","f","1"
"243","Всякие песни о разном","images/albums/image_QIQw2dN.jpg","9/10/2023 03:59:32.-1f+00","2005","f","1"
"244","Провокация","images/albums/image_j84OOYG.jpg","9/10/2023 04:53:12.-1f+00","2002","f","1"
